Category,Account Number,Account Name,Description
21Avsetning for forpliktelser,2120,Utsatt skatt,"2120 - Utsatt skattUtsatt skatt er en prosentsats av differansen mellom regnskapsmessige og skattemessige verdier. Prosenten endres fra år til år, se oppdatertesatser på Regjeringen.noLes mer om utsatt skatt."
21Avsetning for forpliktelser,2160,Uopptjent inntekt,2160 - Uopptjent inntektHer bokføres avsetning av inntektsføring og periodisering av separate garantiytelser. Det vil si garantier som går utover lovpålagt garanti ved salg av varer.
21Avsetning for forpliktelser,2180,Andre avsetninger for forpliktelser,2180 - Andre avsetninger for forpliktelserHer bokføres avsetning på kostnad på forpliktelser som ikke er ført i resultatregnskapet ved avslutning av en periode.
22Annen langsiktig gjeld,2220,Gjeld til kredittinstitusjoner,"2220 - Gjeld til kredittinstitusjonerHer føres gjeld med løpetid over 1 år, som lån i banker eller andre kredittinstitusjoner."
22Annen langsiktig gjeld,2240,Pantelån,2240 - PantelånHer føres pantelån. Pantelån er et alternativ til forbrukslån hvor man tar opp lån med sikkerhet i verdigjenstander.
22Annen langsiktig gjeld,2250,Gjeld til ansatte,"2250 - Gjeld til ansatteHer føres gjeld bedriften har til ansatte der lånet har en løpetid på over 1 år.Eksempler: lån, gjeld, utlegg"
22Annen langsiktig gjeld,2255,Gjeld til eiere,"2255 - Gjeld til eiereHer føres gjeld selskapet (AS) har til eiere, for eksempel når eller om eier har gitt langsiktig lån til selskapet.Eksempler:lån, gjeld, eiere, langsiktig, gjeld til eier, gjeld til eierprivate utlegg, privat."
22Annen langsiktig gjeld,2260,Gjeld til selskap i samme konsern langsiktig,"2260 - Gjeld til selskap i samme konsern langsiktigHer føres gjeld til selskap i samme konsern, der lånet har en løpetid på over 1 år.Eksempler:Gjeld til eier, lån, gjeld, langsiktig, konsern."
22Annen langsiktig gjeld,2290,Annen langsiktig gjeld,"2290 - Annen langsiktig gjeldAnnen langsiktig gjeld, løpetid over 1 år."
"23Kortsiktige konvertible lån, obligasjonslån og gjeld til kredittinstitusjoner",2300,Konvertible lån kortsiktig,"2300 - Konvertible lån kortsiktigKonvertible lån, løpetid under 1 år."
"23Kortsiktige konvertible lån, obligasjonslån og gjeld til kredittinstitusjoner",2320,Obligasjonslån kortsiktig,"2320 - Obligasjonslån kortsiktigObligasjonslån, løpetid under 1 år."
"23Kortsiktige konvertible lån, obligasjonslån og gjeld til kredittinstitusjoner",2360,Byggelån,2360 - ByggelånMidlertidig lån relatert til byggearbeid som skal dekke renter og andre løpende kostnader. Det er vanlig å flytte eller omgjøre lånet til et langsiktig lån når byggearbeidet er ferdig.
"23Kortsiktige konvertible lån, obligasjonslån og gjeld til kredittinstitusjoner",2380,Kassekreditt,"2380 - KassekredittHer føres kassekreditt som bedriften har i banken. Denne kontoen kan da være driftskonto i stedet for konto1920, og saldoen på denne kontoen skal stemme overens med bankkontoen for kassekreditt i nettbanken. Den bør avstemmes jevnlig.Hvis denne kontoen har debetsaldo pr. 31.12. bør saldoen overflyttes til konto1920, da det ikke er gjeld.Les mer om kassekreditt her."
"23Kortsiktige konvertible lån, obligasjonslån og gjeld til kredittinstitusjoner",2390,Annen gjeld til kredittinstitusjon,"2390 - Annen gjeld til kredittinstitusjonAnnen gjeld til kredittinstitusjon, løpetid under 1 år."
24Leverandørgjeld,2400,Leverandørgjeld,"2400 - LeverandørgjeldDette er reskontrokontoen for leverandørgjeld. Denne kontoen skal alltid være tilknyttet en leverandør, og alle bilag som føres på denne kontoen skal gå mot en leverandør.Hva er leverandørgjeld?"
24Leverandørgjeld,2460,Leverandørgjeld til selskap i samme konsern,2460 - Leverandørgjeld til selskap i samme konsernHer føres leverandørgjeld til andre selskaper i samme konsern. Denne kontoen brukes bare av bedrifter som er en del av et konsern.
25Betalbar skatt,2500,"Betalbar skatt, ikke utlignet","2500 - Betalbar skatt, ikke utlignetDenne kontoen brukes til avsetning i balansen som viser den beregnede skatten for nåværende regnskapsår som man forventer at blir utlignet.Eksempler:betalbar skatt, ikke fastsatt, avsetning, skatteoppgjør."
25Betalbar skatt,2510,"Betalbar skatt, utlignet","2510 - Betalbar skatt, utlignetHer bokføres utlignet skatt for forrige år.Eksempler: Restskatt, Skatteetaten, skatteoppgjør.Hva er utlignet skatt?"
25Betalbar skatt,2540,Forhåndsskatt,"2540 - ForhåndsskattDriver du med næringsvirksomhet må du betale forskuddsskatt. Forskuddsskatten betales i ulike omganger avhengig om du er et AS eller ENK.Les mer om forskuddsskatt på Skatteetaten sine sider:Aksjeselskap (AS) og andreEnkeltpersonforetakEksempler:forhåndsskatt, forskuddsskatt, forskudd."
26Skattetrekk og andre trekk,2600,Forskuddstrekk,"2600 - ForskuddstrekkHer føres forskuddstrekk (trukket skatt) av lønn som utbetales til de ansatte. Skyldig skattetrekk bør settes inn på egen bankkonto, for eksempel konto1950.Når en avgiftstermin skal gjøres opp, så skal denne kontoen stemme med terminbeløpet. Betaling av forskuddstrekk skal gjøre 6 ganger i året. For eksempel januar og februar, med forfall 15. mars.Eksempler:forskuddstrekk, termin, forskudd.Les mer om skatt."
26Skattetrekk og andre trekk,2610,Påleggstrekk,"2610 - PåleggstrekkHer føres påleggstrekk/utleggstrekk. Når en arbeidsgiver er blitt pålagt av det offentlige å trekke den i ansattes lønn, så brukes denne kontoen.Les om utleggstrekk herog hvilke lover og regler som gjelder."
26Skattetrekk og andre trekk,2620,Bidragstrekk,2620 - BidragstrekkHer føres bidragstrekk som arbeidsgiveren gjør på vegne av den ansatte til NAV.
26Skattetrekk og andre trekk,2630,Trygdetrekk,2630 - TrygdetrekkHer føres trygdetrekk som arbeidsgiveren gjør på vegne av den ansatte. Ved tilbakekreving av feilaktige trygdeutbetalinger skal denne kontoen brukes.
26Skattetrekk og andre trekk,2640,Forsikringstrekk,2640 - ForsikringstrekkHer føres forsikringstrekk som er gjort på ansatte.
26Skattetrekk og andre trekk,2650,Trukket fagforeningskontigent,"2650 - Trukket fagforeningskontigentHer føres trekk av fagforeningskontingent som arbeidsgiveren gjør på vegne av den ansatte, og skal betales til de ulike fagforeningene."
26Skattetrekk og andre trekk,2690,Andre trekk,2690 - Andre trekkKontoen kan benyttes til andre trekk i den ansattes lønn dersom det ikke er noen andre kontoer egnet i kontogruppe 26.
27Skyldige offentlige avgifter,2700,Utgående mva høy sats,2700 - Utgående mva høy satsMva-beregning av salg av varer og tjenester med høy avgiftssats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.
27Skyldige offentlige avgifter,2701,Utgående mva middels sats,2701 - Utgående mva middels satsMva-beregning av salg av varer og tjenester med høy avgiftssats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.Les mer ommva-koder.
27Skyldige offentlige avgifter,2702,"Utgående mva, lav sats","2702 - Utgående mva, lav satsMva-beregning av salg av varer og tjenester med lav avgiftssats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.Les mer ommva-koder."
27Skyldige offentlige avgifter,2703,"Utgående mva, kjøp av tjeneste fra utlandet, høy sats","2703 - Utgående mva, kjøp av tjeneste fra utlandet, høy satsMva-beregning av kjøp av tjenester med høy avgiftssats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.Les mer ommva-koder."
27Skyldige offentlige avgifter,2704,"Utgående mva, kjøp av tjenester fra utlandet, lav sats","2704 - Utgående mva, kjøp av tjenester fra utlandet, lav satsMva-beregning av kjøp av tjenester fra utlandet, lav avgiftsats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.Les mer ommva-koder."
27Skyldige offentlige avgifter,2705,"Utgående merverdiavgift innførsel, høy sats","2705 - Utgående merverdiavgift innførsel, høy satsMva-beregning av kjøp av varer fra utlandet, høy avgiftsats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.Les mer ommva-koder."
27Skyldige offentlige avgifter,2706,"Utgående merverdiavgift innførsel, middels sats","2706 - Utgående merverdiavgift innførsel, middels satsMva-beregning av kjøp av varer fra utlandet, middels avgiftsats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.Les mer ommva-koder."
27Skyldige offentlige avgifter,2707,"Utgående mva, kjøp av klimakvoter og gull","2707 - Utgående mva, kjøp av klimakvoter og gullMva-beregning av kjøp av klimakvoter og gull. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å bruke riktig mva-kode så vil det føres mot denne balansekontoen.Les mer ommva-koder."
27Skyldige offentlige avgifter,2710,Inngående mva høy sats,2710 - Inngående mva høy satsMva-beregning av bokføring av kjøp av varer og tjenester med høy avgiftssats.Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å brukeriktig mva-kodeså vil det føres mot denne balansekontoen.Her kan du lese mer ommva og inngående mva
27Skyldige offentlige avgifter,2711,"Inngående mva, middels sats","2711 - Inngående mva, middels satsMva-beregning av bokføring av kjøp av varer og tjenester med middels avgiftssats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å brukeriktig mva-kodeså vil det føres mot denne balansekontoen.Les mer ommva og inngående mva."
27Skyldige offentlige avgifter,2712,Inngående mva lav sats,2712 - Inngående mva lav satsMva-beregning av bokføring av kjøp av varer og tjenester med lav avgiftssats. Mva-kontoer i Tripletex er låst for føringer da alle disse er knyttet til mva-koder for de ulike satsene. Ved å brukeriktig mva-kodeså vil det føres mot denne balansekontoen.Les mer ommva og inngående mva.
27Skyldige offentlige avgifter,2713,"Direktepostert inngående mva ved innførsel, høy sats","2713 - Direktepostert inngående mva ved innførsel, høy satsMva-beregning av bokføring av kjøp av varer og tjenester med lav avgiftssats."
27Skyldige offentlige avgifter,2714,"Direktepostert inngående mva ved innførsel, middels sats","2714 - Direktepostert inngående mva ved innførsel, middels sats"
27Skyldige offentlige avgifter,2740,Oppgjørskonto merverdiavgift,"2740 - Oppgjørskonto merverdiavgiftOppgjørskonto for mva. Det bedriften er skyldig eller har til gode i mva blir ført her. På denne kontoen summeres alle føringer gjort med MVA-koder og tømmer balansekontoene til denne kontoen ved opprettelse av MVA-melding.Mva-meldingen kan også bli sendt til Altinn automatisk. Innbetalingen eller utbetalingen for mva-oppgjøret, føres mot denne kontoen.Bankkontoen pengene kom inn eller ut fra blir motkonto.Stikkord:Merverdiavgift, tilbakebetaling av mva, betale mva, tilbakebetaling av moms, betale moms, terminoppgjør, skyldig mva."
27Skyldige offentlige avgifter,2741,Inngående mva kjøp varer fra utlandet,2741 - Inngående mva kjøp varer fra utlandetInngående høy mva beregnet på varer kjøpt fra utlandet. Dette føres på grunnlag av Tolldeklarasjon.
27Skyldige offentlige avgifter,2742,Inngående mva kjøp varer fra utlandet,2742 - Inngående mva kjøp varer fra utlandetInngående middel mva beregnet på varer kjøpt fra utlandet. Dette føres på grunnlag av Tolldeklarasjon.
27Skyldige offentlige avgifter,2745,Grunnlag utgående mva kjøp av tjenester utland,2745 - Grunnlag utgående mva kjøp av tjenester utlandGrunnlag for beregning av kjøp av tjenester fra utlandet.
27Skyldige offentlige avgifter,2746,Motkonto grunnlag kjøp av tjenester utland,2746 - Motkonto grunnlag kjøp av tjenester utlandDette er motkonto for inngående mva ved kjøp av varer fra utlandet.
27Skyldige offentlige avgifter,2761,Grunnlag innførsel varer høy sats,2761 - Grunnlag innførsel varer høy satsGrunnlag for beregning av import-mva. Dette føres på grunnlag av Tolldeklarasjon.
27Skyldige offentlige avgifter,2762,Motkonto grunnlag innførsel varer høy sats,2762 - Motkonto grunnlag innførsel varer høy satsDette er motkonto for inngående mva ved kjøp av varer fra utlandet.
27Skyldige offentlige avgifter,2763,Grunnlag innførsel varer middels sats,2763 - Grunnlag innførsel varer middels satsGrunnlag for beregning av import-mva. Dette føres på grunnlag av Tolldeklarasjon.
27Skyldige offentlige avgifter,2764,Motkonto grunnlag innførsel varer middels sats,2764 - Motkonto grunnlag innførsel varer middels satsDette er motkonto for inngående mva ved kjøp av varer fra utlandet.
27Skyldige offentlige avgifter,2765,Grunnlag innførsel varer ingen mva,2765 - Grunnlag innførsel varer ingen mvaGrunnlag for beregning av import-mva. Dette føres på grunnlag av Tolldeklarasjon.
27Skyldige offentlige avgifter,2766,Motkonto grunnlag innførsel varer ingen mva,2766 - Motkonto grunnlag innførsel varer ingen mvaDette er motkonto for inngående mva ved kjøp av varer fra utlandet.
27Skyldige offentlige avgifter,2770,Skyldig arbeidsgiveravgift,"2770 - Skyldig arbeidsgiveravgiftHer føres skyldig arbeidsgiveravgift. Dette føres vanligvis sammen med utbetaling av lønn.Det som føres på denne kontoen skal være med på terminbeløpet som skal betales til det offentlige, 6 ganger i året eks. januar og februar som har forfall 15. mars.Eksempler:Lønn, arbeidsgiveravgift (aga), skatt, personal, termin"
27Skyldige offentlige avgifter,2780,Avsatt arbeidsgiveravgift påløpt lønn,"2780 - Avsatt arbeidsgiveravgift påløpt lønnHer føres arbeidsgiveravgift på lønn som ikke ennå er utbetalt, når man periodiserer lønnen."
27Skyldige offentlige avgifter,2785,Påløpt arbeidsgiveravgift ferielønn,"2785 - Påløpt arbeidsgiveravgift ferielønnHer føres påløpt arbeidsgiveravgift på påløpte/opptjente feriepenger, det vil si feriepenger som ikke er utbetalt ennå."
27Skyldige offentlige avgifter,2790,Andre offentlige avgifter,"2790 - Andre offentlige avgifterHer føres andre offentlige avgifter som ikke passer inn under noen av de andre27xx-kontoene.Eksempler:Sukkeravgift, tobakksavgift."
28Utbytte,2800,Avsatt ordinært utbytte,2800 - Avsatt ordinært utbytteHer bokføres utbytte som styret eller generalforsamlingen beslutter skal utdeles ved godkjennelse av årsregnskapet.
29Annen kortsiktig gjeld,2900,Forskudd fra kunder,"2900 - Forskudd fra kunderHer føres forskudd fra kunder. Dette gjelder når en kunde har forskuddsbetalt en vare eller tjeneste som ikke ennå er levert. Dette skal føres uten mva. Når varen eller tjenesten leveres, så må beløpet føres vekk fra denne kontoen igjen."
29Annen kortsiktig gjeld,2903,Forskudd kunder tilgodelapp,"2903 - Forskudd kunder tilgodelappHer bokføres tilgodelapp, slik at det fremkommer hvilken verdi som er i tilgodelapper."
29Annen kortsiktig gjeld,2910,Gjeld til ansatte,2910 - Gjeld til ansatteI Tripletex brukes 2910 som standard ansattreskontro. Her føres gjeld med løpetid på inntil et år til ansatte. Her vil all lønn og andre ytelser som føres i lønnsbilag plasseres før det blir utbetalt til den ansatte. Alle arbeidsforhold i Tripletex har en egen ansattreskontro under denne kontoen.
29Annen kortsiktig gjeld,2920,Gjeld til selskap i samme konsern kortsiktig,"2920 - Gjeld til selskap i samme konsern kortsiktigHer føres gjeld til selskap i samme konsern med løpetid på inntil et år. Bare bedrifter som inngår i et konsern bruker denne kontoen.Eksempler:Gjeld til eier, gjeld konsern."
29Annen kortsiktig gjeld,2930,Skyldig lønn,"2930 - Skyldig lønnHer føres skyldig lønn til ansatte når lønn er kjørt. Når lønnen så blir utbetalt føres kredit1920Bankinnskudd og debet 2930 Skyldig lønn. Kontoen blir da nullet ut.Denne kontoen brukes sjeldent i Tripletex, da skyldig lønn blir ført mot 2910 til det blir utbetalt."
29Annen kortsiktig gjeld,2940,Skyldige feriepenger,"2940 - Skyldige feriepengerHer føres skyldige feriepenger av lønn som er utbetalt. Feriepenger utbetales i de fleste tilfeller året etter det er opptjent. Feriepengene som er opptjent når en lønn utbetales må avsettes i regnskapet, og føres så vekk igjen når feriepengene utbetales."
29Annen kortsiktig gjeld,2965,Forskuddsbetalt inntekt,2965 - Forskuddsbetalt inntekt
29Annen kortsiktig gjeld,2970,Uopptjent inntekt,"2970 - Uopptjent inntektUopptjente inntekter føres på denne kontoen. Dette gjelder for eksempel garantiavtaler, serviceavtaler eller sesongkort. Inntekten må fordeles over hele perioden dette gjelder."
29Annen kortsiktig gjeld,2980,Avsetning styrehonorar,2980 - Avsetning styrehonorarHer bokføres avsetning på styrehonorar hvor man ikke har mottatt faktura og den er bokført i riktig kostnadsperiode.
29Annen kortsiktig gjeld,2982,Avsetning revisjonshonorar,2982 - Avsetning revisjonshonorarHer bokføres avsetning på revisjonshonorar hvor man ikke har mottatt faktura og er bokført i riktig kostnadsperiode.
29Annen kortsiktig gjeld,2983,Avsetning regnskapshonorar,"2983 - Avsetning regnskapshonorarHer bokføres avsetning på regnskapshonorar, der man ikke har mottatt faktura og bokført denne i riktig periode/år, slik at selve kostnaden kommer i riktig periode."
29Annen kortsiktig gjeld,2989,Avsetning andre forpliktelser,"2989 - Avsetning andre forpliktelserFremtidige utgifter som du har forpliktet deg til, for eksempel hvis du har inngått en avtale som du forventer å ha utgifter i forbindelse med over flere år fremover."
29Annen kortsiktig gjeld,2990,Annen kortsiktig gjeld,2990 - Annen kortsiktig gjeldHer føres annen kortsiktig gjeld med løpetid på inntil et år.
"30Salgsinntekt, avgiftspliktig",3000,"Salgsinntekt, avgiftspliktig","3000 - Salgsinntekt, avgiftspliktigSalgsinntekter bedriften har på varer som går til kunder, som har høy mva-sats føres her. Dette vil si varer som er kjøpt inn fra leverandør som videreselges."
"30Salgsinntekt, avgiftspliktig",3001,"Salgsinntekt, avgiftspliktig, middels sats","3001 - Salgsinntekt, avgiftspliktig, middels sats"
"30Salgsinntekt, avgiftspliktig",3002,"Salgsinntekt, avgiftspliktig, lav sats","3002 - Salgsinntekt, avgiftspliktig, lav sats"
"30Salgsinntekt, avgiftspliktig",3010,Salgsinntekt varer avgiftspliktig,3010 - Salgsinntekt varer avgiftspliktigSalgsinntekter på egenproduserte varer som har høy mva-sats.
"30Salgsinntekt, avgiftspliktig",3011,"Salgsinntekt, avgiftspliktig, råfisk","3011 - Salgsinntekt, avgiftspliktig, råfiskSalgsinntekter på råfisk som har egen mva-sats."
"30Salgsinntekt, avgiftspliktig",3020,Salgsinntekt tjenester avgiftspliktig,3020 - Salgsinntekt tjenester avgiftspliktigSalgsinntekter på tjenester som har høy mva-sats.
"30Salgsinntekt, avgiftspliktig",3030,Salgsinntekt handelsvarer avgiftspliktig,"3030 - Salgsinntekt handelsvarer avgiftspliktigSalgsinntekter bedriften har på varer som går til kunder, som har middels mva-sats. Dette vil si varer som er kjøpt inn fra leverandør som videreselges."
"30Salgsinntekt, avgiftspliktig",3035,Salgsinntekt handelsvarer avgiftspliktig,"3035 - Salgsinntekt handelsvarer avgiftspliktigSalgsinntekter bedriften har på varer som går til kunder, som har lav mva-sats. Dette vil si varer som er kjøpt inn fra leverandør som videreselges."
"30Salgsinntekt, avgiftspliktig",3040,Salgsinntekt varer avgiftspliktig,3040 - Salgsinntekt varer avgiftspliktigSalgsinntekter på egenproduserte varer som har middels mva-sats.
"30Salgsinntekt, avgiftspliktig",3050,Salgsinntekt tjenester avgiftspliktig,3050 - Salgsinntekt tjenester avgiftspliktigSalgsinntekter på tjenester som har lav mva-sats.
"30Salgsinntekt, avgiftspliktig",3059,Opptjent ikke fakturert inntekt,3059 - Opptjent ikke fakturert inntektAvsetning på inntekter som ikke er bokført/fakturert i riktig periode.
"30Salgsinntekt, avgiftspliktig",3060,Uttak av varer/tjenester,3060 - Uttak av varer/tjenester
"30Salgsinntekt, avgiftspliktig",3061,"Uttak av varer/tjenester, middels sats","3061 - Uttak av varer/tjenester, middels sats"
"30Salgsinntekt, avgiftspliktig",3062,"Uttak av varer/tjenester, lav sats","3062 - Uttak av varer/tjenester, lav satsUttak av varer som bedriften til vanlig selger, men som tas ut til privat bruk eller andre formål enn vanlig salg. Denne kontoen gjelder uttak av varer med lav mva-sats."
"30Salgsinntekt, avgiftspliktig",3063,Motkonto uttak av varer/tjenester,3063 - Motkonto uttak av varer/tjenester
"30Salgsinntekt, avgiftspliktig",3070,Uttak av tjenester avgiftspliktig,"3070 - Uttak av tjenester avgiftspliktigUttak av tjenester som bedriften til vanlig selger, men som tas ut til privat bruk eller andre formål enn vanlig salg. Denne kontoen gjelder uttak av tjenester som er avgiftspliktig."
"30Salgsinntekt, avgiftspliktig",3071,"Uttak av tjenester, avgiftspliktig, høy sats","3071 - Uttak av tjenester, avgiftspliktig, høy satsUttak av tjenester som bedriften til vanlig selger, men som tas ut til privat bruk eller andre formål enn vanlig salg. Denne kontoen gjelder uttak av tjenester med høy mva-sats."
"30Salgsinntekt, avgiftspliktig",3074,"Uttak av tjenester, avgiftspliktig, lav sats","3074 - Uttak av tjenester, avgiftspliktig, lav satsUttak av tjenester som bedriften til vanlig selger, men som tas ut til privat bruk eller andre formål enn vanlig salg. Denne kontoen gjelder uttak av tjenester med lav mva-sats."
"30Salgsinntekt, avgiftspliktig",3080,Rabatt og annen salgsinntektsreduksjon,3080 - Rabatt og annen salgsinntektsreduksjonRabatter og andre inntektsreduksjoner som gis ved salg til kunder. Vanligvis bokføres bare større rabatter mot denne kontoen.
"30Salgsinntekt, avgiftspliktig",3090,"Opptjent, ikke fakturert inntekt","3090 - Opptjent, ikke fakturert inntektOpptjente inntekter som ikke ennå er fakturert. Dette er vanligvis varer som er levert i ett år, men faktureres først året etter."
"30Salgsinntekt, avgiftspliktig",3092,"Motkonto salgsinntekt fisk, avgiftspliktig, medium sats","3092 - Motkonto salgsinntekt fisk, avgiftspliktig, medium sats"
"30Salgsinntekt, avgiftspliktig",3092,"Motkonto salgsinntekt, avgiftspliktig, lav sats","3092 - Motkonto salgsinntekt, avgiftspliktig, lav satsMotkonto salgsinntekt, avgiftspliktig, lav sats."
"30Salgsinntekt, avgiftspliktig",3094,"Motkonto salgsinntekt, avgiftspliktig, medium sats","3094 - Motkonto salgsinntekt, avgiftspliktig, medium sats"
"30Salgsinntekt, avgiftspliktig",3095,"Motkonto salgsinntekt, avgiftspliktig, høy sats","3095 - Motkonto salgsinntekt, avgiftspliktig, høy sats"
"31Salgsinntekt, avgiftsfri",3100,"Salgsinntekt, avgiftsfri","3100 - Salgsinntekt, avgiftsfriSalgsinntekter bedriften har på varer som går til kunder, som er avgiftsfritt. Dette vil si varer som er kjøpt inn fra leverandør som videreselges."
"31Salgsinntekt, avgiftsfri",3107,"Salgsinntekt utførsel av varer og tjenester, avgiftsfri","3107 - Salgsinntekt utførsel av varer og tjenester, avgiftsfriSalgsinntekter av varer til utlandet føres her."
"31Salgsinntekt, avgiftsfri",3108,"Salgsinntekt gull og klimakvoter, avgiftsfri","3108 - Salgsinntekt gull og klimakvoter, avgiftsfri"
"31Salgsinntekt, avgiftsfri",3110,Salgsinntekt varer innenlands,3110 - Salgsinntekt varer innenlandsSalgsinntekter på egenproduserte varer som er avgiftsfritt.
"31Salgsinntekt, avgiftsfri",3120,Salgsinntekt tjenester innenlands,3120 - Salgsinntekt tjenester innenlandsSalgsinntekter på tjenester som er avgiftsfritt.
"31Salgsinntekt, avgiftsfri",3125,Salgsinntekt tjenester utførsel,3125 - Salgsinntekt tjenester utførselSalgsinntekter av tjenester til utlandet føres her.
"31Salgsinntekt, avgiftsfri",3160,Uttak av varer/tjenester,"3160 - Uttak av varer/tjenesterUttak av varer som bedriften til vanlig selger, men som blir brukt til andre formål enn vanlig salg. Denne kontoen gjelder uttak av varer som er avgiftsfrie."
"31Salgsinntekt, avgiftsfri",3170,Uttak av tjenester avgiftsfritt,"3170 - Uttak av tjenester avgiftsfrittUttak av tjenester som bedriften til vanlig selger, men som tas ut til privat bruk eller andre formål enn vanlig salg. Denne kontoen gjelder uttak av tjenester som er avgiftsfrie."
"31Salgsinntekt, avgiftsfri",3180,Rabatt og annen salgsinntektsreduksjon,3180 - Rabatt og annen salgsinntektsreduksjonRabatter og andre inntektsreduksjoner som gis ved salg til kunder. Vanligvis bokføres bare større rabatter mot denne kontoen.
"31Salgsinntekt, avgiftsfri",3190,"Opptjent, ikke fakturert inntekt","3190 - Opptjent, ikke fakturert inntektInntekt som er opptjent men ikke er fakturert."
"31Salgsinntekt, avgiftsfri",3195,"Motkonto salgsinntekt, avgiftsfri","3195 - Motkonto salgsinntekt, avgiftsfriMotkonto salgsinntekt, avgiftsfri innenfor MVA-loven."
"31Salgsinntekt, avgiftsfri",3197,"Motkonto salgsinntekt utførsel av varer og tjenester, fritatt fra avgiftsplikt","3197 - Motkonto salgsinntekt utførsel av varer og tjenester, fritatt fra avgiftsplikt"
"31Salgsinntekt, avgiftsfri",3198,"Motkonto salgsinntekt gull og klimakvoter, omvendt avgiftsplikt","3198 - Motkonto salgsinntekt gull og klimakvoter, omvendt avgiftsplikt"
"32Salgsinntekt, utenfor avgiftsområdet",3200,"Salgsinntekt, utenfor avgiftsområdet","3200 - Salgsinntekt, utenfor avgiftsområdetSalgsinntekter bedriften har på varer som går til kunder, som er unntatt avgiftsplikt utenfor MVA-loven. Dette vil si varer som er kjøpt inn fra leverandør som videreselges.Eksempler:Salg, handelsvarer, gramo, inntekt, royalty, tono, vederlag for bruk av musikk, vederlag, musikk royalties"
"32Salgsinntekt, utenfor avgiftsområdet",3210,Salgsinntekt egentilvirkede varer utenfor avgiftsområdet,3210 - Salgsinntekt egentilvirkede varer utenfor avgiftsområdetSalgsinntekter på egenproduserte varer som er unntatt avgiftsplikt utenfor MVA-loven.
"32Salgsinntekt, utenfor avgiftsområdet",3220,Salgsinntekt tjenester utenfor avgiftsområdet,3220 - Salgsinntekt tjenester utenfor avgiftsområdetSalgsinntekter på tjenester som er unntatt avgiftsplikt utenfor MVA-loven.
"32Salgsinntekt, utenfor avgiftsområdet",3260,Uttak av varer/tjenester,"3260 - Uttak av varer/tjenesterUttak av varer som bedriften til vanlig selger, men som brukes til andre formål enn vanlig salg. Denne kontoen gjelder uttak av varer som er unntatt avgiftsplikt utenfor MVA-loven."
"32Salgsinntekt, utenfor avgiftsområdet",3280,Rabatter og annen salgsinntektsreduksjon,3280 - Rabatter og annen salgsinntektsreduksjonRabatter og andre inntektsreduksjoner som gis ved salg til kunder. Vanligvis bokføres bare større rabatter mot denne kontoen og er unntatt avgiftsplikt utenfor MVA-loven.
"32Salgsinntekt, utenfor avgiftsområdet",3290,"Opptjent, ikke fakturert inntekt","3290 - Opptjent, ikke fakturert inntekt"
"32Salgsinntekt, utenfor avgiftsområdet",3295,"Motkonto salgsinntekt, utenfor avgiftsområdet","3295 - Motkonto salgsinntekt, utenfor avgiftsområdet"
33Offentlig avgift vedrørende omsetning,3300,Spesiell offentlig avgift for tilvirkede/solgte varer,"3300 - Spesiell offentlig avgift for tilvirkede/solgte varerSpesielle offentlige avgifter eller særavgifter som er pålagt visse produkter, noen kjente eksempler er drifstoffavgift, alkoholavgift, tobakksavgift og sukkeravgift."
34Offentlig tilskudd/refusjon,3400,Spesielt offentlig tilskudd for tilvirkede/solgte varer,3400 - Spesielt offentlig tilskudd for tilvirkede/solgte varerOffentlige tilskudd er en overføring av et økonomisk gode fra det offentlige til et foretak mot at foretaket oppfyller visse betingelser.Overføring uten betingelser er gaver og faller utenfor tilskuddsbegrepet. Offentlig tilskudd for tjenester føres mot konto 3440.
34Offentlig tilskudd/refusjon,3440,Spesielt offentlig tilskudd for tjeneste,"3440 - Spesielt offentlig tilskudd for tjenesteMottar man tilskudd fra det offentlige, Innovasjon Norge eller andre tilskudd kan man bruke denne kontoen.Eksempler:Tilskudd, offentlig støtte, Innovasjon Norge."
